^GSPC,AAPL,AMZN,GOOGL,META,MSFT,TSLA
2043.939941,26.31500053,33.79449844,38.90050125,104.6600037,55.47999954,16.00066757
2012.660034,26.33749962,31.84950066,37.97200012,102.2200012,54.79999924,14.89400005
2016.709961,25.67749977,31.68950081,38.07649994,102.7300034,55.04999924,14.89533329
1990.26001,25.17499924,31.63249969,37.96649933,102.9700012,54.04999924,14.60266685
1943.089966,24.11249924,30.39699936,37.04999924,97.91999817,52.16999817,14.37666702
1922.030029,24.23999977,30.35250092,36.54550171,97.33000183,52.33000183,14.0666666
1923.670044,24.63249969,30.88699913,36.6534996,97.51000214,52.29999924,13.85666656
1938.680054,24.98999977,30.89450073,37.26699829,99.37000275,52.77999878,13.99800014
1890.280029,24.34749985,29.09049988,35.97850037,95.44000244,51.63999939,13.35400009
1921.839966,24.87999916,29.64999962,36.56949997,98.37000275,53.11000061,13.74533272
1880.329956,24.28249931,28.50900078,35.5245018,94.97000122,50.99000168,13.66600037
1881.329956,24.16500092,28.72400093,35.95399857,95.26000214,50.56000137,13.64799976
1859.329956,24.19750023,28.58849907,35.9280014,94.34999847,50.79000092,13.24666691
1868.98999,24.07500076,28.75099945,36.33349991,94.16000366,50.47999954,13.33133316
1906.900024,25.35499954,29.81900024,37.27299881,97.94000244,52.29000092,13.50333309
1877.079956,24.86000061,29.82649994,36.68099976,97.01000214,51.79000092,13.09200001
1903.630005,24.99749947,30.0625,36.6894989,97.33999634,52.16999817,12.90400028
1882.949951,23.35499954,29.16749954,35.87900162,94.44999695,51.22000122,12.53800011
1893.359985,23.52249908,31.76749992,37.41500092,109.1100006,52.06000137,12.64666653
1940.23999,24.33499908,29.35000038,38.06750107,112.2099991,55.09000015,12.74666691
1939.380005,24.10750008,28.7404995,38.53850174,115.0899963,54.70999908,13.12933254
1903.030029,23.62000084,27.60499954,39.04550171,114.6100006,53,12.18533325
1912.530029,24.08749962,26.55349922,37.46900177,112.6900024,52.15999985,11.56533337
1915.449951,24.14999962,26.81299973,36.50149918,110.4899979,52,11.6886673
1880.050049,23.50499916,25.10650063,35.18799973,104.0699997,50.15999985,10.84000015
1853.439941,23.75250053,24.40500069,35.20800018,99.75,49.40999985,9.866000175
1852.209961,23.74749947,24.10350037,35.05099869,99.54000092,49.27999878,9.883333206
1851.859985,23.56749916,24.52400017,35.34249878,101,49.70999908,9.578000069
1829.079956,23.42499924,25.19099998,35.31800079,101.9100037,49.68999863,10.03133297
1864.780029,23.49749947,25.35400009,35.3445015,102.0100021,50.5,10.06933308
1895.579956,24.15999985,26.05500031,35.88199997,101.6100006,51.09000015,10.34466743
1926.819946,24.53000069,26.70499992,36.5984993,105.1999969,52.41999817,11.24533272
1917.829956,24.06500053,26.25,35.87549973,103.4700012,52.18999863,11.11800003
1917.780029,24.01000023,26.74500084,36.10549927,104.5699997,51.81999969,11.10533333
1945.5,24.21999931,27.97500038,36.45249939,107.1600037,52.65000153,11.84933281
1921.27002,23.67250061,27.64699936,35.86449814,105.4599991,51.18000031,11.81400013
1929.800049,24.02499962,27.70199966,36.04499817,106.8799973,51.36000061,11.9333334
1951.699951,24.19000053,27.75749969,36.45600128,108.0699997,52.09999847,12.49533272
1948.050049,24.22750092,27.7614994,36.24300003,107.9199982,51.29999924,12.68933296
1932.22998,24.17250061,27.62599945,35.86100006,106.9199982,50.88000107,12.79533291
1978.349976,25.13249969,28.95199966,37.10850143,109.8199997,52.58000183,12.42333317
1986.449951,25.1875,29.01049995,36.97399902,109.9499969,52.95000076,12.55599976
